"","country","region","year","co2","population","gdp","tpes"
"2022","India","Asia",1984,359.52144,764.664,1076.192,9826.5107
"2023","Indonesia","Asia",1984,76.62486,161.556,592.589,2661.7372
"2024","Malaysia","Asia",1984,30.024732,15.333,135.363,646.4696
"2025","Mongolia","Asia",1984,NA,NA,NA,NA
"2026","Myanmar","Asia",1984,5.480701,37.725,44.025,428.1944
"2027","Nepal","Asia",1984,0.793559,16.337,16.583,211.4019
"2028","Pakistan","Asia",1984,33.056989,89.183,226.039,1282.7127
"2029","Philippines","Asia",1984,29.589448,52.874,208.364,947.099
"2030","Singapore","Asia",1984,15.694177,2.732,68.191,280.8893
"2031","Sri Lanka","Asia",1984,3.816261,15.583,49.334,212.1072
"2032","Chinese Taipei","Asia",1984,71.323154,18.978,185.013,1337.8968
"2033","Thailand","Asia",1984,37.990827,51.105,215.75,955.1345
"2034","Viet Nam","Asia",1984,17.373341,57.692,74.05,660.4052
"2035","Other Asia","Asia",1984,18.574294,31.709,67.327,354.2179
"2036","People's Rep. of China","China",1984,1618.808611,1036.825,1011.066,28263.0266
"2037","Hong Kong, China","China",1984,21.300394,5.398,103.107,261.4368
"2038","Argentina","Non-OECD Americas",1984,93.166071,29.921,333.793,1813.725
"2039","Bolivia","Non-OECD Americas",1984,4.585673,6.085,22.702,106.8632
"2040","Brazil","Non-OECD Americas",1984,148.388744,133.951,1253.797,5071.9759
"2041","Colombia","Non-OECD Americas",1984,37.794194,30.35,192.809,824.2819
"2042","Costa Rica","Non-OECD Americas",1984,1.844667,2.66,17.766,51.4099
"2043","Cuba","Non-OECD Americas",1984,34.631384,10.017,141.171,644.2714
"2044","Curaçao","Non-OECD Americas",1984,6.686357,0.181,1.272,126.3375
"2045","Dominican Republic","Non-OECD Americas",1984,7.076505,6.352,33.2,170.1201
"2046","Ecuador","Non-OECD Americas",1984,11.184701,8.824,62.894,232.5558
"2047","El Salvador","Non-OECD Americas",1984,1.517395,4.855,20.93,115.4629
"2048","Guatemala","Non-OECD Americas",1984,3.093197,7.914,40.347,154.9321
"2049","Haiti","Non-OECD Americas",1984,0.77891,6.24,14.135,78.1829
"2050","Honduras","Non-OECD Americas",1984,1.863907,4.111,12.668,84.516
"2051","Jamaica","Non-OECD Americas",1984,5.215201,2.284,13.965,83.9955
"2052","Nicaragua","Non-OECD Americas",1984,1.790067,3.619,15.129,77.3631
"2053","Panama","Non-OECD Americas",1984,2.812354,2.17,18.644,67.6344
"2054","Paraguay","Non-OECD Americas",1984,1.395472,3.568,17.904,92.6223
"2055","Peru","Non-OECD Americas",1984,18.594584,19.1,121.909,454.8393
"2056","Suriname","Non-OECD Americas",1984,NA,NA,NA,NA
"2057","Trinidad and Tobago","Non-OECD Americas",1984,6.751883,1.156,16.4,200.4387
"2058","Uruguay","Non-OECD Americas",1984,3.210123,2.993,24.439,84.3014
"2059","Venezuela","Non-OECD Americas",1984,85.017307,17.058,246.968,1536.4613
"2060","Other Non-OECD Americas","Non-OECD Americas",1984,9.305782,2.888,23.276,155.7816
"2061","Bahrain","Middle East",1984,8.659678,0.407,14.415,150.6028
"2062","Islamic Rep. of Iran","Middle East",1984,133.150015,45.429,538.988,2085.6685
"2063","Iraq","Middle East",1984,33.776141,15.205,111.162,532.0008
"2064","Jordan","Middle East",1984,7.07646,2.677,22.433,107.824
"2065","Kuwait","Middle East",1984,33.064106,1.658,82.863,527.5467
"2066","Lebanon","Middle East",1984,5.454826,2.667,29.431,82.6381
"2067","Oman","Middle East",1984,4.980555,1.431,46.843,94.1306
"2068","Qatar","Middle East",1984,10.652408,0.341,38.945,235.525
"2069","Saudi Arabia","Middle East",1984,117.264982,12.674,506.507,1913.5555
"2070","Syrian Arab Republic","Middle East",1984,22.035223,10.313,44.173,353.4001
"2071","United Arab Emirates","Middle East",1984,31.880872,1.28,185.252,505.659
"2072","Yemen","Middle East",1984,4.523659,9.402,31.467,68.7536
"2073","Canada","OECD Americas",1985,393.807065,25.842,751.652,8080.1644
"2074","Chile","OECD Americas",1985,19.624773,12.102,78.586,401.2073
"2075","Mexico","OECD Americas",1985,241.084221,78.77,937.019,4547.4817
"2076","United States","OECD Americas",1985,4513.650711,238.506,7686.571,74274.8324
"2077","Australia","OECD Asia Oceania",1985,220.151376,15.901,420.306,3036.8279
"2078","Israel","OECD Asia Oceania",1985,24.307556,4.233,72.284,317.059
"2079","Japan","OECD Asia Oceania",1985,865.851824,121.049,2805.711,15193.6678
"2080","Korea","OECD Asia Oceania",1985,155.688827,40.806,303.356,2224.5832
"2081","New Zealand","OECD Asia Oceania",1985,18.901453,3.272,75.647,468.7988
"2082","Austria","OECD Europe",1985,52.642425,7.565,200.678,966.5348
"2083","Belgium","OECD Europe",1985,100.953073,9.857,256.732,1846.6589
"2084","Czech Republic","OECD Europe",1985,175.404391,10.337,186.451,2061.9489
"2085","Denmark","OECD Europe",1985,61.020645,5.113,158.362,808.0351
"2086","Estonia","OECD Europe",1985,NA,NA,NA,NA
"2087","Finland","OECD Europe",1985,48.270348,4.902,118.558,1081.622
"2088","France","OECD Europe",1985,351.696211,56.649,1429.555,8533.6822
"2089","Germany","OECD Europe",1985,1004.57926,77.668,2051.821,14955.4926
"2090","Greece","OECD Europe",1985,54.509597,10.037,194.718,734.8498
"2091","Hungary","OECD Europe",1985,79.773728,10.579,166.618,1245.7902
"2092","Iceland","OECD Europe",1985,1.627519,0.241,6.281,74.1349
"2093","Ireland","OECD Europe",1985,26.446201,3.541,58.454,361.2118
"2094","Italy","OECD Europe",1985,341.932085,56.593,1467.614,5413.7203
"2095","Latvia","OECD Europe",1985,NA,NA,NA,NA
"2096","Luxembourg","OECD Europe",1985,10.328004,0.367,13.747,128.1524
"2097","Netherlands","OECD Europe",1985,138.349993,14.488,398.551,2538.8427
"2098","Norway","OECD Europe",1985,26.408769,4.153,155.577,837.1786
"2099","Poland","OECD Europe",1985,422.44302,37.203,385.344,5220.8983
"2100","Portugal","OECD Europe",1985,23.91665,10.108,153.488,459.0581
"2101","Slovak Republic","OECD Europe",1985,54.435813,5.161,71.838,867.7262
"2102","Slovenia","OECD Europe",1985,NA,NA,NA,NA
"2103","Spain","OECD Europe",1985,173.002662,38.906,729.208,2968.7236
"2104","Sweden","OECD Europe",1985,58.366362,8.35,228.181,1977.484
"2105","Switzerland","OECD Europe",1985,41.760068,6.533,264.502,924.421
"2106","Turkey","OECD Europe",1985,95.390072,50.306,454.346,1646.2866
"2107","United Kingdom","OECD Europe",1985,543.443596,56.554,1273.89,8407.0012
"2108","Albania","Non-OECD Europe and Eurasia",1985,6.935072,2.965,13.68,113.7708
"2109","Armenia","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2110","Azerbaijan","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2111","Belarus","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2112","Bosnia and Herzegovina","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2113","Bulgaria","Non-OECD Europe and Eurasia",1985,82.225558,8.961,74.232,1282.9607
"2114","Croatia","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2115","Cyprus","Non-OECD Europe and Eurasia",1985,2.764096,0.538,9.666,38.5001
"2116","FYR of Macedonia","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2117","Georgia","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2118","Gibraltar","Non-OECD Europe and Eurasia",1985,0.090064,0.028,0.493,1.5202
"2119","Kazakhstan","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2120","Kosovo","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2121","Kyrgyzstan","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2122","Lithuania","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2123","Malta","Non-OECD Europe and Eurasia",1985,1.157795,0.336,3.998,14.4232
"2124","Republic of Moldova","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2125","Montenegro","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2126","Romania","Non-OECD Europe and Eurasia",1985,174.867466,22.755,271.41,2718.8794
"2127","Russian Federation","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2128","Serbia","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2129","Tajikistan","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2130","Turkmenistan","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2131","Ukraine","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2132","Uzbekistan","Non-OECD Europe and Eurasia",1985,NA,NA,NA,NA
"2133","Former Soviet Union (if no detail)","Non-OECD Europe and Eurasia",1985,3078.114528,275.986,3276.818,52248.4892
"2134","Former Yugoslavia (if no detail)","Non-OECD Europe and Eurasia",1985,119.669815,22.639,228.72,1721.9609
"2135","Algeria","Africa",1985,42.05996,22.566,250.191,742.9124
"2136","Angola","Africa",1985,2.816516,9.745,44.694,208.9302
"2137","Benin","Africa",1985,0.472683,4.287,6.476,64.5883
"2138","Botswana","Africa",1985,1.500855,1.183,6.274,36.0387
"2139","Cameroon","Africa",1985,2.377533,10.381,36.876,186.6357
"2140","Congo","Africa",1985,0.759582,2.084,12.49,32.0089
"2141","Côte d'Ivoire","Africa",1985,3.045644,10.158,36.228,154.7947
"2142","Dem. Rep. of Congo","Africa",1985,3.252971,29.986,43.578,416.7142
"2143","Egypt","Africa",1985,64.447238,49.374,270.289,1074.1429
"2144","Eritrea","Africa",1985,NA,NA,NA,NA
"2145","Ethiopia","Africa",1985,1.385507,40.776,23.914,805.9319
"2146","Gabon","Africa",1985,1.681808,0.83,17.18,56.9363
"2147","Ghana","Africa",1985,2.094288,12.716,21.759,182.218
"2148","Kenya","Africa",1985,4.591332,19.661,41.496,363.763
"2149","Libya","Africa",1985,21.236523,3.841,124.256,424.2269
"2150","Mauritius","Africa",1985,0.611327,1.021,5.248,18.5095
"2151","Morocco","Africa",1985,16.266946,22.596,74.225,258.753
"2152","Mozambique","Africa",1985,1.503654,13.103,3.767,266.5638
"2153","Namibia","Africa",1985,NA,NA,NA,NA
"2154","Niger","Africa",1985,NA,NA,NA,NA
"2155","Nigeria","Africa",1985,31.775969,83.902,270.012,2390.3598
"2156","Senegal","Africa",1985,2.123885,6.438,12.216,65.3434
"2157","South Africa","Africa",1985,222.927347,32.983,329.092,3617.3983
"2158","South Sudan","Africa",1985,NA,NA,NA,NA
"2159","Sudan","Africa",1985,3.978887,22.543,35.824,396.4335
"2160","United Rep. of Tanzania","Africa",1985,1.462737,21.842,27.282,367.0882
"2161","Togo","Africa",1985,0.296626,3.253,4.432,41.2919
"2162","Tunisia","Africa",1985,9.657666,7.322,39.373,174.2595
"2163","Zambia","Africa",1985,2.695844,7.017,17.004,208.4057
"2164","Zimbabwe","Africa",1985,9.728981,8.863,20.757,310.0582
"2165","Other Africa","Africa",1985,10.860224,98.525,124.008,1297.9836
"2166","Bangladesh","Asia",1985,7.702252,93.015,111.426,416.626
"2167","Brunei Darussalam","Asia",1985,2.945141,0.223,19.338,74.6189
"2168","Cambodia","Asia",1985,NA,NA,NA,NA
"2169","DPR of Korea","Asia",1985,129.426169,18.778,134.458,1507.2119
"2170","India","Asia",1985,375.814303,782.085,1132.738,10341.1211
"2171","Indonesia","Asia",1985,83.894727,165.012,607.179,2755.9845
"2172","Malaysia","Asia",1985,32.899982,15.764,133.843,650.9709
"2173","Mongolia","Asia",1985,11.777825,1.922,9.138,130.7234
"2174","Myanmar","Asia",1985,5.733818,38.509,45.28,460.179
"2175","Nepal","Asia",1985,0.551044,16.714,17.602,213.3407
"2176","Pakistan","Asia",1985,36.48732,92.165,243.2,1350.9514
"2177","Philippines","Asia",1985,28.495219,54.324,193.14,994.8998
"2178","Singapore","Asia",1985,16.597736,2.736,67.722,283.2762
"2179","Sri Lanka","Asia",1985,3.483802,15.831,51.801,209.1554
"2180","Chinese Taipei","Asia",1985,69.084167,19.226,193.906,1389.6367
"2181","Thailand","Asia",1985,42.05757,52.041,225.776,1035.7472
"2182","Viet Nam","Asia",1985,17.428715,58.868,76.868,668.4855
"2183","Other Asia","Asia",1985,10.199248,30.104,59.939,269.0398
"2184","People's Rep. of China","China",1985,1625.69144,1051.04,1146.987,28944.6795
"2185","Hong Kong, China","China",1985,22.302194,5.456,103.888,275.5017
"2186","Argentina","Non-OECD Americas",1985,87.749348,30.389,308.47,1731.1985
"2187","Bolivia","Non-OECD Americas",1985,4.31208,6.212,22.321,105.5088
"2188","Brazil","Non-OECD Americas",1985,156.183461,136.836,1353.422,5415.7706
"2189","Colombia","Non-OECD Americas",1985,39.467701,31.012,198.763,836.9277
"2190","Costa Rica","Non-OECD Americas",1985,1.947847,2.73,17.951,52.9173
"2191","Cuba","Non-OECD Americas",1985,32.16805,10.083,143.425,640.3305
"2192","Curaçao","Non-OECD Americas",1985,4.495789,0.183,1.305,74.7106
"2193","Dominican Republic","Non-OECD Americas",1985,6.232428,6.489,32.496,141.768
"2194","Ecuador","Non-OECD Americas",1985,11.661879,9.046,65.369,235.1063
"2195","El Salvador","Non-OECD Americas",1985,1.640129,4.921,21.059,109.876
"2196","Guatemala","Non-OECD Americas",1985,3.182909,8.117,40.101,157.8415
"2197","Haiti","Non-OECD Americas",1985,0.795914,6.384,14.241,78.789
"2198","Honduras","Non-OECD Americas",1985,1.670974,4.237,13.199,83.786
"2199","Jamaica","Non-OECD Americas",1985,4.667692,2.312,13.554,72.1993
"2200","Nicaragua","Non-OECD Americas",1985,1.80508,3.709,14.511,80.862
"2201","Panama","Non-OECD Americas",1985,2.665239,2.219,19.566,65.3072
"2202","Paraguay","Non-OECD Americas",1985,1.422403,3.672,18.714,94.571
"2203","Peru","Non-OECD Americas",1985,18.045347,19.545,124.422,442.967
"2204","Suriname","Non-OECD Americas",1985,NA,NA,NA,NA
"2205","Trinidad and Tobago","Non-OECD Americas",1985,6.65234,1.171,15.724,213.143
"2206","Uruguay","Non-OECD Americas",1985,3.009726,3.012,24.797,83.6446
"2207","Venezuela","Non-OECD Americas",1985,85.116516,17.508,247.445,1521.4704
"2208","Other Non-OECD Americas","Non-OECD Americas",1985,9.233558,2.907,23.724,150.874
"2209","Bahrain","Middle East",1985,9.097041,0.419,13.729,174.2311
"2210","Islamic Rep. of Iran","Middle East",1985,144.992292,47.291,549.054,2252.0166
"2211","Iraq","Middle East",1985,37.960455,15.576,112.778,616.3018
"2212","Jordan","Middle East",1985,7.471738,2.783,23.209,109.5858
"2213","Kuwait","Middle East",1985,36.740224,1.735,79.335,587.293
"2214","Lebanon","Middle East",1985,6.612143,2.677,36.583,97.501
"2215","Oman","Middle East",1985,5.634635,1.498,53.404,88.3628
"2216","Qatar","Middle East",1985,10.682744,0.371,33.87,236.4229
"2217","Saudi Arabia","Middle East",1985,117.77619,13.361,478.631,1925.6609
"2218","Syrian Arab Republic","Middle East",1985,19.528615,10.667,47.396,327.9121
"2219","United Arab Emirates","Middle East",1985,35.624764,1.35,178.593,574.3201
"2220","Yemen","Middle East",1985,4.85529,9.774,32.537,72.7368
"2221","Canada","OECD Americas",1986,385.675448,26.1,767.901,8219.6656
"2222","Chile","OECD Americas",1986,20.219948,12.317,82.97,419.2062
"2223","Mexico","OECD Americas",1986,239.806797,80.414,901.844,4424.12
"2224","United States","OECD Americas",1986,4477.433815,240.683,7956.494,74158.4487
"2225","Australia","OECD Asia Oceania",1986,221.521315,16.139,431.143,3100.9493
"2226","Israel","OECD Asia Oceania",1986,26.718179,4.299,75.313,378.3844
"2227","Japan","OECD Asia Oceania",1986,865.918288,121.66,2885.143,15364.4647
"2228","Korea","OECD Asia Oceania",1986,162.047726,41.214,337.405,2549.1536
"2229","New Zealand","OECD Asia Oceania",1986,17.880256,3.282,77.694,470.8264
"2230","Austria","OECD Europe",1986,51.630678,7.57,205.296,970.3159
"2231","Belgium","OECD Europe",1986,101.236867,9.859,261.412,1913.3215
"2232","Czech Republic","OECD Europe",1986,175.400949,10.341,190.338,2095.7327
"2233","Denmark","OECD Europe",1986,61.585607,5.12,166.129,819.7072
"2234","Estonia","OECD Europe",1986,NA,NA,NA,NA
"2235","Finland","OECD Europe",1986,48.435128,4.918,121.79,1128.9357
"2236","France","OECD Europe",1986,341.52776,56.937,1463.167,8666.2561
"2237","Germany","OECD Europe",1986,1007.258019,77.69,2098.753,14933.1024
"2238","Greece","OECD Europe",1986,54.381068,10.07,195.726,698.4964
"2239","Hungary","OECD Europe",1986,78.275105,10.534,169.177,1240.7437
"2240","Iceland","OECD Europe",1986,1.700978,0.243,6.675,77.4357
"2241","Ireland","OECD Europe",1986,27.457482,3.542,58.204,371.0179
"2242","Italy","OECD Europe",1986,343.173531,56.596,1509.588,5477.3699
"2243","Latvia","OECD Europe",1986,NA,NA,NA,NA
"2244","Luxembourg","OECD Europe",1986,10.010628,0.368,15.119,125.9006
"2245","Netherlands","OECD Europe",1986,141.413734,14.567,409.658,2634.0466
"2246","Norway","OECD Europe",1986,29.706984,4.167,161.866,876.5947
"2247","Poland","OECD Europe",1986,428.226453,37.456,401.786,5432.67
"2248","Portugal","OECD Europe",1986,27.242889,10.108,159.844,507.6202
"2249","Slovak Republic","OECD Europe",1986,51.705772,5.193,74.829,865.4025
"2250","Slovenia","OECD Europe",1986,14.6663423,1.981,32.142,245.0928
"2251","Spain","OECD Europe",1986,177.318427,39.024,752.932,3030.2466
"2252","Sweden","OECD Europe",1986,59.842832,8.37,234.322,2060.0966
"2253","Switzerland","OECD Europe",1986,41.661555,6.573,269.419,965.2253
"2254","Turkey","OECD Europe",1986,103.345897,51.48,486.22,1773.3415
"2255","United Kingdom","OECD Europe",1986,557.97648,56.684,1314.059,8538.4146
"2256","Albania","Non-OECD Europe and Eurasia",1986,6.956541,3.023,14.451,121.9866
"2257","Armenia","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2258","Azerbaijan","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2259","Belarus","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2260","Bosnia and Herzegovina","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2261","Bulgaria","Non-OECD Europe and Eurasia",1986,83.188393,8.958,77.356,1294.3126
"2262","Croatia","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2263","Cyprus","Non-OECD Europe and Eurasia",1986,3.032788,0.545,10.024,43.5557
"2264","FYR of Macedonia","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2265","Georgia","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2266","Gibraltar","Non-OECD Europe and Eurasia",1986,0.115414,0.028,0.513,1.8216
"2267","Kazakhstan","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2268","Kosovo","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2269","Kyrgyzstan","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2270","Lithuania","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2271","Malta","Non-OECD Europe and Eurasia",1986,1.874258,0.342,4.154,24.0372
"2272","Republic of Moldova","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2273","Montenegro","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2274","Romania","Non-OECD Europe and Eurasia",1986,179.996378,22.859,277.923,2791.947
"2275","Russian Federation","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2276","Serbia","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2277","Tajikistan","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2278","Turkmenistan","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2279","Ukraine","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2280","Uzbekistan","Non-OECD Europe and Eurasia",1986,NA,NA,NA,NA
"2281","Former Soviet Union (if no detail)","Non-OECD Europe and Eurasia",1986,3156.458736,278.545,3410.151,53226.7015
"2282","Former Yugoslavia (if no detail)","Non-OECD Europe and Eurasia",1986,125.84406,22.832,236.838,1808.895
"2283","Algeria","Africa",1986,47.278965,23.241,251.191,839.1855
"2284","Angola","Africa",1986,2.770518,10.024,45.946,211.3366
"2285","Benin","Africa",1986,0.409278,4.414,6.617,65.2016
"2286","Botswana","Africa",1986,1.72712,1.222,6.787,39.4733
"2287","Cameroon","Africa",1986,2.295987,10.701,39.373,189.402
"2288","Congo","Africa",1986,0.686706,2.143,11.633,31.4952
"2289","Côte d'Ivoire","Africa",1986,3.076234,10.548,37.408,171.776
"2290","Dem. Rep. of Congo","Africa",1986,3.004626,30.829,45.633,425.0364
"2291","Egypt","Africa",1986,65.671967,50.748,277.443,1103.3737
"2292","Eritrea","Africa",1986,NA,NA,NA,NA
"2293","Ethiopia","Africa",1986,1.636214,42.097,26.224,834.8498
"2294","Gabon","Africa",1986,1.476568,0.853,17.042,56.8943
"2295","Ghana","Africa",1986,2.226985,13.104,22.89,189.482
"2296","Kenya","Africa",1986,5.214618,20.394,44.475,396.3878
"2297","Libya","Africa",1986,22.132223,3.961,110.152,422.2407
"2298","Mauritius","Africa",1986,0.762424,1.028,5.759,21.1289
"2299","Morocco","Africa",1986,16.754466,23.085,81.107,266.8125
"2300","Mozambique","Africa",1986,1.470593,13.155,3.681,263.7826
"2301","Namibia","Africa",1986,NA,NA,NA,NA
"2302","Niger","Africa",1986,NA,NA,NA,NA
"2303","Nigeria","Africa",1986,30.292159,86.118,246.375,2412.7289
"2304","Senegal","Africa",1986,2.041878,6.638,12.596,68.3733
"2305","South Africa","Africa",1986,219.445071,33.734,329.151,3767.2321
"2306","South Sudan","Africa",1986,NA,NA,NA,NA
"2307","Sudan","Africa",1986,3.916089,23.179,37.764,402.1513
"2308","United Rep. of Tanzania","Africa",1986,1.54306,22.517,29.083,376.0334
"2309","Togo","Africa",1986,0.481888,3.363,4.502,45.0622
"2310","Tunisia","Africa",1986,9.922484,7.51,38.803,171.8441
"2311","Zambia","Africa",1986,2.780709,7.242,17.127,212.0569
"2312","Zimbabwe","Africa",1986,10.934941,9.199,21.193,327.8611
"2313","Other Africa","Africa",1986,11.011975,101.464,127.601,1372.5597
"2314","Bangladesh","Asia",1986,8.51916,95.551,116.076,446.0898
"2315","Brunei Darussalam","Asia",1986,2.938735,0.229,18.813,65.5338
"2316","Cambodia","Asia",1986,NA,NA,NA,NA
"2317","DPR of Korea","Asia",1986,127.069,19.059,139.5,1482.6021
"2318","India","Asia",1986,410.440071,799.607,1186.844,10706.6398
"2319","Indonesia","Asia",1986,93.403254,168.402,642.851,3040.1631
"2320","Malaysia","Asia",1986,32.33305,16.222,135.386,730.835
"2321","Mongolia","Asia",1986,12.800818,1.976,9.995,140.9284
"2322","Myanmar","Asia",1986,6.057317,39.269,44.801,469.3528
"2323","Nepal","Asia",1986,0.739127,17.092,18.406,220.5029
"2324","Pakistan","Asia",1986,38.491968,95.207,256.58,1409.8186
"2325","Philippines","Asia",1986,26.337908,55.804,199.739,994.794
"2326","Singapore","Asia",1986,16.820408,2.733,68.621,301.0658
"2327","Sri Lanka","Asia",1986,3.432492,16.083,54.057,216.0792
"2328","Chinese Taipei","Asia",1986,81.129575,19.453,216.236,1499.7728
"2329","Thailand","Asia",1986,43.377994,53.003,238.27,1087.9597
"2330","Viet Nam","Asia",1986,19.110341,60.249,79.012,700.3795
"2331","Other Asia","Asia",1986,9.72868,30.438,62.61,268.487
"2332","People's Rep. of China","China",1986,1709.295494,1066.79,1249.525,29979.1454
"2333","Hong Kong, China","China",1986,25.261776,5.525,115.374,317.4128
"2334","Argentina","Non-OECD Americas",1986,96.445087,30.857,332.764,1836.5407
"2335","Bolivia","Non-OECD Americas",1986,4.154826,6.338,21.747,99.7378
"2336","Brazil","Non-OECD Americas",1986,174.732834,139.665,1461.537,5669.1079
"2337","Colombia","Non-OECD Americas",1986,40.156522,31.67,210.367,911.1785
"2338","Costa Rica","Non-OECD Americas",1986,2.056151,2.801,18.989,55.474
"2339","Cuba","Non-OECD Americas",1986,32.750703,10.168,143.562,638.1199
"2340","Curaçao","Non-OECD Americas",1986,4.293742,0.184,1.341,70.9467
"2341","Dominican Republic","Non-OECD Americas",1986,7.06718,6.627,33.64,147.1032
"2342","Ecuador","Non-OECD Americas",1986,11.911698,9.273,67.633,234.1158
"2343","El Salvador","Non-OECD Americas",1986,1.621129,4.987,21.099,95.427
"2344","Guatemala","Non-OECD Americas",1986,2.319032,8.32,40.159,151.5441
"2345","Haiti","Non-OECD Americas",1986,0.740322,6.528,14.281,61.298
"2346","Honduras","Non-OECD Americas",1986,1.700694,4.366,13.294,85.9742
"2347","Jamaica","Non-OECD Americas",1986,4.419532,2.333,13.809,73.3624
"2348","Nicaragua","Non-OECD Americas",1986,2.1308,3.797,14.363,80.8608
"2349","Panama","Non-OECD Americas",1986,2.748354,2.269,20.264,66.3701
"2350","Paraguay","Non-OECD Americas",1986,1.466879,3.778,19.643,98.5289
"2351","Peru","Non-OECD Americas",1986,19.32415,19.996,136.15,451.1589
"2352","Suriname","Non-OECD Americas",1986,NA,NA,NA,NA
"2353","Trinidad and Tobago","Non-OECD Americas",1986,6.825617,1.184,15.208,222.7821
"2354","Uruguay","Non-OECD Americas",1986,2.961089,3.031,26.982,86.3042
"2355","Venezuela","Non-OECD Americas",1986,84.872443,17.969,263.555,1591.7954
"2356","Other Non-OECD Americas","Non-OECD Americas",1986,9.904379,2.925,24.217,162.613
"2357","Bahrain","Middle East",1986,9.772556,0.433,13.892,186.2351
"2358","Islamic Rep. of Iran","Middle East",1986,134.547758,49.206,495.33,2266.965
"2359","Iraq","Middle East",1986,42.447023,15.938,118.02,666.4049
"2360","Jordan","Middle East",1986,8.235828,2.884,24.836,117.557
"2361","Kuwait","Middle East",1986,40.188142,1.823,86.13,635.864
"2362","Lebanon","Middle East",1986,7.059439,2.677,34.105,108.1867
"2363","Oman","Middle East",1986,6.229159,1.561,54.473,83.2109
"2364","Qatar","Middle East",1986,11.39382,0.398,35.126,251.1357
"2365","Saudi Arabia","Middle East",1986,118.457639,14.017,501.824,1923.6498
"2366","Syrian Arab Republic","Middle East",1986,20.97086,11.021,45.142,336.7904
"2367","United Arab Emirates","Middle East",1986,40.018251,1.431,151.879,652.4819
"2368","Yemen","Middle East",1986,5.138845,10.154,33.611,78.7897
"2369","Canada","OECD Americas",1987,396.550012,26.447,799.358,8494.0607
"2370","Chile","OECD Americas",1987,20.503366,12.533,88.442,432.6826
"2371","Mexico","OECD Americas",1987,249.397196,82.059,918.58,4652.9727
"2372","United States","OECD Americas",1987,4632.358935,242.843,8231.927,77320.511
"2373","Australia","OECD Asia Oceania",1987,231.837716,16.395,456.05,3249.6835
"2374","Israel","OECD Asia Oceania",1987,28.988913,4.369,80.69,416.7824
"2375","Japan","OECD Asia Oceania",1987,871.073044,122.239,3003.648,15560.6213
"2376","Korea","OECD Asia Oceania",1987,168.336189,41.622,379.47,2752.7523
"2377","New Zealand","OECD Asia Oceania",1987,19.125457,3.31,74.361,473.3756
"2378","Austria","OECD Europe",1987,52.37594,7.575,208.082,1006.8158
"2379","Belgium","OECD Europe",1987,101.300813,9.87,267.442,1953.702
"2380","Czech Republic","OECD Europe",1987,176.440255,10.349,191.413,2156.6871
"2381","Denmark","OECD Europe",1987,59.804515,5.127,166.551,819.9584
"2382","Estonia","OECD Europe",1987,NA,NA,NA,NA
"2383","Finland","OECD Europe",1987,52.172222,4.932,126.124,1230.8718
"2384","France","OECD Europe",1987,335.035335,57.244,1500.878,8882.2212
"2385","Germany","OECD Europe",1987,997.423503,77.718,2128.181,15044.8462
"2386","Greece","OECD Europe",1987,59.84783,10.105,191.305,750.2494
